Common  ||  数值  ||  其他
Common  ||  长度  ||  尺寸标注
Common  ||  面积  ||  分析结果
Common  ||  体积  ||  分析结果
Common  ||  角度  ||  尺寸标注
Common  ||  坡度  ||  尺寸标注
Common  ||  货币  ||  其他
Common  ||  质量密度  ||  其他
Common  ||  时间  ||  其他
Common  ||  速度  ||  其他
Common  ||  URL  ||  标识数据
Common  ||  文字  ||  文字
Common  ||  多行文字  ||  文字
Common  ||  整数  ||  其他
Common  ||  材质  ||  材质和装饰
Common  ||  是/否  ||  其他
Common  ||  图像  ||  图形
Common  ||  族类别  ||  其他
HVAC  ||  密度  ||  机械
HVAC  ||  摩擦  ||  机械 - 流量
HVAC  ||  功率  ||  机械
HVAC  ||  功率密度  ||  能量分析
HVAC  ||  压力  ||  机械 - 流量
HVAC  ||  温度  ||  机械
HVAC  ||  温度差异  ||  机械
HVAC  ||  速度  ||  机械 - 流量
HVAC  ||  风量  ||  机械 - 流量
HVAC  ||  风管尺寸  ||  尺寸标注
HVAC  ||  横截面  ||  尺寸标注
HVAC  ||  热增益  ||  能量分析
HVAC  ||  粗糙度  ||  机械
HVAC  ||  动态粘度  ||  机械
HVAC  ||  气流密度  ||  机械 - 流量
HVAC  ||  冷负荷  ||  能量分析
HVAC  ||  热负荷  ||  能量分析
HVAC  ||  冷负荷除以面积  ||  能量分析
HVAC  ||  热负荷除以面积  ||  能量分析
HVAC  ||  冷负荷除以体积  ||  能量分析
HVAC  ||  热负荷除以体积  ||  能量分析
HVAC  ||  风量除以体积  ||  机械
HVAC  ||  风量除以冷负荷  ||  机械
HVAC  ||  面积除以冷负荷  ||  能量分析
HVAC  ||  面积除以热负荷  ||  能量分析
HVAC  ||  坡度  ||  尺寸标注
HVAC  ||  系数  ||  机械
HVAC  ||  风管隔热层厚度  ||  其他
HVAC  ||  风管内衬厚度  ||  其他
Energy  ||  能量  ||  能量分析
Energy  ||  传热系数  ||  能量分析
Energy  ||  热阻  ||  其他
Energy  ||  热质量  ||  其他
Energy  ||  热传导率  ||  其他
Energy  ||  比热  ||  其他
Energy  ||  蒸汽比热  ||  其他
Energy  ||  渗透性  ||  其他
Electrical  ||  电流  ||  电气工程
Electrical  ||  电压  ||  电气工程
Electrical  ||  频率  ||  电气工程
Electrical  ||  照度  ||  光域
Electrical  ||  亮度  ||  光域
Electrical  ||  光通量  ||  光域
Electrical  ||  发光强度  ||  光域
Electrical  ||  效力  ||  光域
Electrical  ||  瓦特  ||  电气 - 负荷
Electrical  ||  色温  ||  光域
Electrical  ||  功率  ||  电气 - 负荷
Electrical  ||  视在功率  ||  电气 - 负荷
Electrical  ||  功率密度  ||  能量分析
Electrical  ||  电阻率  ||  其他
Electrical  ||  线径  ||  尺寸标注
Electrical  ||  温度  ||  其他
Electrical  ||  温度差异  ||  其他
Electrical  ||  电缆桥架尺寸  ||  尺寸标注
Electrical  ||  线管尺寸  ||  尺寸标注
Electrical  ||  需求系数  ||  电气 - 负荷
Electrical  ||  极数  ||  电气工程
Electrical  ||  负荷分类  ||  电气 - 负荷
Piping  ||  密度  ||  机械
Piping  ||  流量  ||  机械
Piping  ||  摩擦  ||  机械
Piping  ||  压力  ||  机械
Piping  ||  温度  ||  机械
Piping  ||  温度差异  ||  机械
Piping  ||  速度  ||  机械
Piping  ||  动态粘度  ||  机械
Piping  ||  管道尺寸  ||  尺寸标注
Piping  ||  粗糙度  ||  机械
Piping  ||  体积  ||  机械
Piping  ||  坡度  ||  尺寸标注
Piping  ||  管道隔热层厚度  ||  其他
Piping  ||  管道尺寸标注  ||  其他
Piping  ||  体量  ||  其他
Piping  ||  质量/单位长度  ||  其他
Piping  ||  卫浴装置当量  ||  机械
Structural  ||  力  ||  结构分析
Structural  ||  线分布力  ||  结构分析
Structural  ||  面分布力  ||  结构分析
Structural  ||  力矩  ||  结构分析
Structural  ||  线性弯矩  ||  结构分析
Structural  ||  应力  ||  结构分析
Structural  ||  容重  ||  结构
Structural  ||  重量  ||  其他
Structural  ||  体量  ||  其他
Structural  ||  质量/单位面积  ||  其他
Structural  ||  热膨胀系数  ||  结构
Structural  ||  点弹性系数  ||  分析模型
Structural  ||  线弹性系数  ||  分析模型
Structural  ||  面弹性系数  ||  分析模型
Structural  ||  弹性转动刚度  ||  分析模型
Structural  ||  弹性转动线刚度  ||  分析模型
Structural  ||  位移/偏移  ||  其他
Structural  ||  旋转  ||  其他
Structural  ||  周期  ||  其他
Structural  ||  频率  ||  其他
Structural  ||  角频率  ||  其他
Structural  ||  速度  ||  其他
Structural  ||  加速度  ||  其他
Structural  ||  能量  ||  其他
Structural  ||  钢筋体积  ||  其他
Structural  ||  钢筋长度  ||  尺寸标注
Structural  ||  钢筋面积  ||  其他
Structural  ||  钢筋面积/单位长度  ||  其他
Structural  ||  钢筋间距  ||  其他
Structural  ||  钢筋保护层  ||  其他
Structural  ||  钢筋直径  ||  其他
Structural  ||  裂痕宽度  ||  其他
Structural  ||  截面尺寸  ||  其他
Structural  ||  截面属性  ||  其他
Structural  ||  截面面积  ||  其他
Structural  ||  截面模量  ||  其他
Structural  ||  惯性矩  ||  其他
Structural  ||  翘曲常数  ||  其他
Structural  ||  质量/单位长度  ||  其他
Structural  ||  重量/单位长度  ||  其他
Structural  ||  表面积/单位长度  ||  其他
